text,choices
Colonists were pursuing political freedom.,"{'correctness': 'correct', 'punct': '.', 'correctTopics': '{Politics}', 'answerStyle': '{PoliticsFull}', 'FullGrammar': '{Subject} {PositiveWish} {PoliticsPosNoun}', 'Subject': 'Colonists', 'PositiveWish': 'were pursuing', 'PoliticsPosNoun': 'political freedom'}"
To evade taxes,"{'correctness': 'incorrect', 'punct': '', 'falsePhrase': '{Taxation}', 'answerStyle': '{TaxShort}', 'Grammar': 'To {TaxVerb} {TaxNoun}', 'TaxVerb': 'evade', 'TaxNoun': 'taxes'}"
Colonists were seeking economic opportunities,"{'correctness': 'correct', 'punct': '', 'correctTopics': '{EconOpp}', 'answerStyle': '{EconFull}', 'FullGrammar': '{Subject} {PositiveWish} {EconPosNoun}', 'Subject': 'Colonists', 'PositiveWish': 'were seeking', 'EconPosNoun': 'economic opportunities'}"
To escape economic hardships,"{'correctness': 'correct', 'punct': '', 'correctTopics': '{EconOpp}', 'answerStyle': '{EconShort}', 'Grammar': '{EconShortToDo}', 'prose': 'To {EconNegativeVerb} {EconNegNoun}', 'EconNegativeVerb': 'escape', 'EconNegNoun': 'economic hardships'}"
Because they were seeking religious liberty.,"{'correctness': 'correct', 'punct': '.', 'correctTopics': '{Religion}', 'answerStyle': '{ReligionFull}', 'ReligionFullGrammar': '{Subject} {PositiveWish} {ReligionPosNoun}', 'Subject': 'Because they', 'PositiveWish': 'were seeking', 'ReligionPosNoun': 'religious liberty'}"
Those colonists would like to have religious freedom.,"{'correctness': 'correct', 'punct': '.', 'correctTopics': '{Religion}', 'answerStyle': '{ReligionFull}', 'ReligionFullGrammar': '{Subject} {PositiveWish} {ReligionPosNoun}', 'Subject': 'Those colonists', 'PositiveWish': 'would like to have', 'ReligionPosNoun': 'religious freedom'}"
To get religious freedom.,"{'correctness': 'correct', 'punct': '.', 'correctTopics': '{Religion}', 'answerStyle': '{ReligionShort}', 'ReligionShortGrammar': '{ReligionShortToDo}', 'ReligionShort': 'To {ReligionPositiveVerb} {ReligionPosNoun}', 'ReligionPositiveVerb': 'get', 'ReligionPosNoun': 'religious freedom'}"
Freedom of religion.,"{'correctness': 'correct', 'punct': '.', 'correctTopics': '{Religion}', 'answerStyle': '{ReligionShort}', 'ReligionShortGrammar': '{ReligionShortPhrase}', 'ReligionShortPhrase': 'Freedom of religion'}"
Because they were pursuing religious freedom,"{'correctness': 'correct', 'punct': '', 'correctTopics': '{Religion}', 'answerStyle': '{ReligionFull}', 'ReligionFullGrammar': '{Subject} {PositiveWish} {ReligionPosNoun}', 'Subject': 'Because they', 'PositiveWish': 'were pursuing', 'ReligionPosNoun': 'religious freedom'}"
To gain religious freedom,"{'correctness': 'correct', 'punct': '', 'correctTopics': '{Religion}', 'answerStyle': '{ReligionShort}', 'ReligionShortGrammar': '{ReligionShortToDo}', 'ReligionShort': 'To {ReligionPositiveVerb} {ReligionPosNoun}', 'ReligionPositiveVerb': 'gain', 'ReligionPosNoun': 'religious freedom'}"
